wavelength,intensity
0.00,1.6328
0.15,2.1283
0.30,2.3285
0.45,1.8909
0.60,1.6610
0.75,2.0548
0.90,2.2329
1.05,2.4353
1.20,1.7613
1.35,1.7685
1.50,2.4223
1.65,2.4558
1.80,2.9663
1.95,3.1378
2.10,3.3501
2.25,4.0701
2.40,5.9069
2.55,6.1406
2.70,7.0111
2.85,7.6385
3.00,8.2811
3.15,8.0398
3.30,7.1755
3.45,6.2570
3.60,5.2821
3.75,4.4403
3.90,3.8055
4.05,3.0172
4.20,2.0955
4.35,2.6651
4.50,1.9400
4.65,2.2744
4.80,1.8669
4.95,2.3027
5.10,2.0648
5.25,2.3596
5.40,3.2823
5.55,2.2739
5.70,2.5370
5.85,1.8828
6.00,2.1894
6.15,2.4729
6.30,2.2508
6.45,2.4079
6.60,2.3735
6.75,2.1367
6.90,2.7883
7.05,2.6859
7.20,3.9822
7.35,3.9862
7.50,5.3072
7.65,6.2885
7.80,7.8992
7.95,8.7545
8.10,10.3703
8.25,10.8004
8.40,11.4795
8.55,10.9966
8.70,10.0566
8.85,8.6166
9.00,7.7315
9.15,6.2884
9.30,5.4269
9.45,3.8308
9.60,3.3669
9.75,2.8360
9.90,2.4330
10.05,2.2056
10.20,2.0780
10.35,1.7752
10.50,1.6101
10.65,1.7699
10.80,2.0475
10.95,2.3084
11.10,2.1345
11.25,2.1446
11.40,2.0497
11.55,2.0144
11.70,1.8487
11.85,2.0145
12.00,2.3051
12.15,1.6655
12.30,1.5479
12.45,2.3396
12.60,1.8293
12.75,2.0728
12.90,2.1159
13.05,1.6745
13.20,3.0536
13.35,3.3651
13.50,3.6098
13.65,4.6591
13.80,5.3433
13.95,5.6922
14.10,6.1664
14.25,6.0692
14.40,5.6392
14.55,4.6450
14.70,3.5731
14.85,3.2370
15.00,2.0931
15.15,2.2506
15.30,2.1845
15.45,1.6907
15.60,1.2152
15.75,1.4758
15.90,1.8229
16.05,1.9177
16.20,2.2327
16.35,1.4767
16.50,1.7890
16.65,1.9939
16.80,1.7633
16.95,1.1116
17.10,2.0767
17.25,2.5412
17.40,2.1619
17.55,1.5988
17.70,1.7641
17.85,1.9684
